species	Oriental	Australian	Oceanian	Sahara_Palearctic	Afrotropical
crocodilurus	1	0	0	0	0
insulanicus	0	1	0	0	0
baritji	0	1	0	0	0
acanthurus	0	1	0	0	0
kingorum	0	1	0	0	0
primordius	0	1	0	0	0
storri	0	1	0	0	0
bushi	0	1	0	0	0
gilleni	0	1	0	0	0
caudolineatus	0	1	0	0	0
brevicauda	0	1	0	0	0
sparnus	0	1	0	0	0
eremius	0	1	0	0	0
auffenbergi	1	0	0	0	0
timorensis	1	0	0	0	0
mitchelli	0	1	0	0	0
semiremex	0	1	0	0	0
scalaris	0	1	1	0	0
tristis	0	1	0	0	0
glauerti	0	1	0	0	0
hamersleyensis	0	1	0	0	0
pilbarensis	0	1	0	0	0
glebopalma	0	1	0	0	0
giganteus	0	1	0	0	0
mertensi	0	1	0	0	0
gouldii	0	1	0	0	0
panoptes	0	1	1	0	0
rosenbergi	0	1	0	0	0
spenceri	0	1	0	0	0
komodoensis	1	0	0	0	0
varius	0	1	0	0	0
salvadorii	0	0	1	0	0
beccarii	0	0	1	0	0
keithhornei	0	1	0	0	0
boehmei	0	0	1	0	0
macraei	0	0	1	0	0
prasinus	0	0	1	0	0
bogerti	0	0	1	0	0
kordensis	0	0	1	0	0
caerulivirens	0	0	1	0	0
indicus	0	0	1	0	0
melinus	0	0	1	0	0
solomon	0	0	1	0	0
douarrha	0	0	1	0	0
chlorostigma	0	1	1	0	0
lirungensis	0	0	1	0	0
rainerguentheri	0	0	1	0	0
jobiensis	0	0	1	0	0
doreanus	0	1	1	0	0
finschi	0	0	1	0	0
yuwonoi	0	0	1	0	0
semotus	0	0	1	0	0
bitatawa	1	0	0	0	0
olivaceus	1	0	0	0	0
bengalensis	1	0	0	1	0
nebulosus	1	0	0	0	0
flavescens	1	0	0	1	0
dumerilii	1	0	0	0	0
bangonorum	1	0	0	0	0
dalubhasa	1	0	0	0	0
marmoratus	1	0	0	0	0
nuchalis	1	0	0	0	0
palawanensis	1	0	0	0	0
salvator	1	0	1	0	0
togianus	1	0	0	0	0
cumingi	1	0	0	0	0
samarensis	1	0	0	0	0
rudicollis	1	0	0	0	0
spinulosus	0	0	1	0	0
albigularis	0	0	0	0	1
yemenensis	0	0	0	1	0
exanthematicus	0	0	0	0	1
niloticus	0	0	0	1	1
stellatus	0	0	0	0	1
griseus	1	0	0	1	1
borneensis	1	0	0	0	0
